1,Москва,Речная,668,2,11,728,2
2,Москва,Западная,583,5,8,322,3
3,Екатеринбург,Южная,587,4,24,484,4
4,Санкт-Петербург,Лесной,599,1,6,324,5
5,Новосибирск,Совхозная,666,2,25,237,6
6,Пермь,Пушкина,102,3,16,318,7
7,Казань,Лермонтова,953,2,13,799,8
8,Нижний,1 Мая,980,5,28,92,9
9,Санкт-Петербург,Лесной,932,1,3,708,10
10,Екатеринбург,Пионерская,778,3,6,398,11
11,Астрахань,Парковая,969,1,23,412,12
12,Нижний,Труда,439,2,9,439,13
13,Санкт-Петербург,Новый,22,1,27,646,14
14,Екатеринбург,Красная,279,2,21,195,15
15,Новосибирск,Парковая,651,1,15,365,16
16,Москва,Свердлова,829,3,29,359,17
17,Москва,Чкалова,553,4,26,895,18
18,Санкт-Петербург,Родниковая,539,4,11,248,19
19,Челябинск,Строителей,366,1,5,219,20
20,Рязань,Северная,664,1,30,202,21
21,Омск,Строительная,92,2,11,387,22
22,Санкт-Петербург,Степная,213,4,30,656,23
23,Казань,Озерная,211,2,1,581,24
24,Воронеж,Железнодорожная,809,1,15,837,25
25,Екатеринбург,Карла Маркса,225,4,17,501,26
26,Москва,1 Мая,175,1,9,77,27
27,Барнаул,Механизаторов,935,1,14,534,28
28,Санкт-Петербург,Энергетиков,311,2,11,247,29
29,Ижевск,Интернациональная,15,5,26,590,30
30,Самара,Трактовая,899,5,21,425,31
31,Москва,Кооперативная,961,4,15,428,32
32,Нижний,Степная,614,1,12,338,33
33,Нижний,Школьная,439,3,8,863,34
34,Москва,Калинина,433,2,9,839,35
35,Москва,Коммунистическая,753,1,13,407,36
36,Брянск,Кооперативная,916,5,22,475,37
37,Москва,Вишневая,606,2,10,863,38
38,Санкт-Петербург,Садовый,55,5,28,149,39
39,Москва,Совхозная,866,1,21,731,40
40,Москва,Московская,21,1,9,93,41
41,Хабаровск,Набережная,2,4,20,485,42
42,Магнитогорск,Энергетиков,478,4,30,889,43
43,Москва,Гоголя,987,5,8,718,44
44,Казань,Центральная,717,4,1,892,45
45,Санкт-Петербург,Карла Маркса,618,1,29,859,46
46,Нижний,Школьный,948,1,12,823,47
47,Санкт-Петербург,Набережная,112,5,18,528,48
48,Санкт-Петербург,Совхозная,751,3,5,449,49
49,Пермь,Вишневая,654,2,29,77,50
