1,Tbilisskaya,Melody,60,2,4,93,912
2,Oslo,Becker,394,1,15,159,730
3,Vyborg,Spaight,678,4,5,51,176
4,Al Marsá,Summerview,495,2,7,53,184
5,Gorno Orizari,4th,471,2,5,34,44
6,Cerkvenjak,Elka,958,3,19,294,817
7,Milán,Green,65,4,20,21,156
8,Fresno,Talmadge,251,3,17,135,532
9,Junqueiro,Mallard,591,1,11,154,619
10,Sioux City,Jackson,620,2,4,268,198
11,Shanjiao,Rigney,159,5,14,251,363
12,Gornyak,Dayton,330,1,6,241,529
13,Ðà Lạt,Eggendart,774,5,10,92,106
14,Viñac,Bunker Hill,200,3,9,175,61
15,Nýřany,Ridgeview,609,5,16,239,770
16,Zheleznogorsk,Spohn,294,5,18,159,621
17,Aga,Meadow Vale,425,2,15,15,472
18,Nanyuki,Arizona,234,5,8,155,718
19,Chachoengsao,Moose,239,3,4,123,3
20,Kladno,Westend,49,1,17,256,872
21,Motema,Hovde,750,3,3,137,68
22,Lijia,Erie,949,3,8,153,954
23,Marseille,Homewood,817,5,1,219,267
24,Batanghari,Montana,61,5,19,177,640
25,Beizhang,Caliangt,197,3,11,123,645
26,Cerrillos,Annamark,700,5,20,44,23
27,Santa Rosa del Sara,Elka,178,3,16,240,705
28,Kopang Satu,Straubel,762,5,14,94,573
29,Gradec,Messerschmidt,256,1,18,191,53
30,Rukem,Commercial,391,1,18,179,583
31,Vukatanë,Merry,531,1,1,71,656
32,Taiqing,Lakeland,642,1,16,222,848
33,Pulo,Pearson,748,3,3,165,934
34,Chichigalpa,Ruskin,472,3,8,179,200
35,Świecie nad Osą,Eagle Crest,676,2,6,156,868
36,Banjar Geriana Kangin,Union,940,2,9,145,505
37,Paso de Carrasco,Buena Vista,24,4,10,47,468
38,Austin,Rutledge,135,1,8,7,715
39,Östersund,Randy,850,5,13,291,984
40,Ube,Commercial,267,4,6,74,150
41,Paso de Indios,Division,869,2,11,178,278
42,Novyy Oskol,Karstens,503,5,4,148,93
43,Xiaoguai,Shoshone,595,5,18,175,820
44,Xin’an,Garrison,542,3,11,177,261
45,Trondheim,Duke,989,5,6,257,842
46,Jinshan,Green Ridge,853,3,10,11,381
47,Videira,American,368,1,19,114,885
48,Guay,Paget,532,3,8,128,514
49,Fengcheng,Monterey,938,5,10,59,884
50,Padangan,Elmside,281,4,8,134,797
51,San Jose,Harbort,945,3,2,93,204
52,Noginsk,Morrow,314,4,13,140,391
53,La Paz,Center,323,2,16,132,122
54,Itō,Heffernan,813,5,17,37,699
55,Oslo,Dwight,973,3,7,107,556
56,Campos,Shasta,160,2,13,169,23
57,Zhangjiahe,West,431,3,1,15,729
58,Rochester,Eliot,812,5,3,209,760
59,Vista Alegre,Magdeline,19,3,15,68,463
60,Del Campillo,Rutledge,247,3,5,285,83
61,Khun Han,Raven,192,3,6,177,560
62,Malakhovka,Bluestem,218,5,8,294,528
63,Kramarzówka,Ryan,399,1,12,220,782
64,Punta de Piedra,Corben,760,5,4,195,559
65,Mokopane,Hauk,565,1,11,130,958
66,Kolonowskie,Scoville,525,2,4,76,756
67,Sicheng,West,811,4,12,215,753
68,Culubasa,Del Mar,6,5,10,118,867
